sample_id	library_id	cell_line	library_type	treatment	file_name
rhh_hacat_14062014_FAIRE	rhh050_FAIRE_Input_P705_14062014	HACAT	FAIRE	NA	rhh050_FAIRE_Input_P705_14062014.140701_NS500222_0011_AH0RF6AGXX.S4_L000_R1_001.fq.gz
rhh_hacat_14062014_FAIRE	rhh051_FAIRE_Input_P706_14062014	HACAT	FAIRE	NA	rhh051_FAIRE_Input_P706_14062014.140702_NS500222_0012_AH0TGHAGXX.S1_L000_R1_001.fq.gz
HaCaT_1	HaCaT_1	HACAT	RNA-Seq	Control	HaCaT_1.SLX-10280.D702_D505.HFVLFBGXX.s_1.r_1.fq.gz
HaCaT_2	HaCaT_2	HACAT	RNA-Seq	Control	HaCaT_2.SLX-10280.D702_D504.HFVLFBGXX.s_1.r_1.fq.gz
HaCaT_3	HaCaT_3	HACAT	RNA-Seq	Control	HaCaT_3.SLX-10280.D702_D503.HFVLFBGXX.s_1.r_1.fq.gz
HaCaT_4	HaCaT_4	HACAT	RNA-Seq	Control	HaCaT_4.SLX-10280.D702_D502.HFVLFBGXX.s_1.r_1.fq.gz
Entinostat_1	Entinostat_1	HACAT	RNA-Seq	Entinostat	Entinostat_1.SLX-10280.D701_D505.HFVLFBGXX.s_1.r_1.fq.gz
Entinostat_2	Entinostat_2	HACAT	RNA-Seq	Entinostat	Entinostat_2.SLX-10280.D701_D506.HFVLFBGXX.s_1.r_1.fq.gz
Entinostat_3	Entinostat_3	HACAT	RNA-Seq	Entinostat	Entinostat_3.SLX-10280.D701_D507.HFVLFBGXX.s_1.r_1.fq.gz
Entinostat_4	Entinostat_4	HACAT	RNA-Seq	Entinostat	Entinostat_4.SLX-10280.D701_D508.HFVLFBGXX.s_1.r_1.fq.gz
rhh178_inputwthacat_703_517_entst_26082015	rhh178_inputwthacat_703_517_entst_26082015	HACAT	input	Control	rhh178_inputwthacat_703_517_entst_26082015.SLX-10845_entinostat.SLX-10845_S1_L000_R1_001.fq.gz
rhh178_inputwthacat_703_517_entst_26082015	rhh178_inputwthacat_703_517_entst_26082015	HACAT	input	Control	rhh178_inputwthacat_703_517_entst_26082015.SLX-10850.SLX-10845_S1_L000_R1_001.fq.gz
rhh177_Input_705_517_entst_26082015	rhh177_Input_705_517_entst_26082015	HACAT	input	Entinostat	rhh177_Input_705_517_entst_26082015.SLX-10845_entinostat.SLX-10845_S2_L000_R1_001.fq.gz
rhh177_Input_705_517_entst_26082015	rhh177_Input_705_517_entst_26082015	HACAT	input	Entinostat	rhh177_Input_705_517_entst_26082015.SLX-10850.SLX-10845_S2_L000_R1_001.fq.gz
rhh155_25cyc_input_703_503_12082015	rhh155_25cyc_input_703_503_12082015	HACAT	input	NA	rhh155_25cyc_input_703_503_12082015.SLX-10276.S5_L000_R1_001.fq.gz
rhh_HEKnp_ATAC_24022015	rhh113_HEKnp_ATAC_701_517_24022015	HEKnp	ATAC	NA	rhh113_HEKnp_ATAC_701_517_24022015.SLX-9254.RHH_S1_L000_R1_001.fq.gz
rhh_HEKnp_ATAC_24022015	rhh114_HEKnp_ATAC_702_502_24022015	HEKnp	ATAC	NA	rhh114_HEKnp_ATAC_702_502_24022015.SLX-9254.RHH_S2_L000_R1_001.fq.gz
rhh_HEKnp_ATAC_24022015	rhh115_HEKnp_ATAC_703_503_24022015	HEKnp	ATAC	NA	rhh115_HEKnp_ATAC_703_503_24022015.SLX-9254.RHH_S3_L000_R1_001.fq.gz
rhh_HEKnp_ATAC_27032015	rhh116_HEKnp_ATAC_701_517_27032015	HEKnp	ATAC	NA	rhh116_HEKnp_ATAC_701_517_27032015.SLX-9697.RHH_S1_L000_R1_001.fq.gz
rhh_HEKnp_ATAC_27032015	rhh117_HEKnp_ATAC_702_502_27032015	HEKnp	ATAC	NA	rhh117_HEKnp_ATAC_702_502_27032015.SLX-9697.RHH_S2_L000_R1_001.fq.gz
rhh_HEKnp_ATAC_27032015	rhh118_HEKnp_ATAC_704_504_27032015	HEKnp	ATAC	NA	rhh118_HEKnp_ATAC_704_504_27032015.SLX-9697.RHH_S3_L000_R1_001.fq.gz
HEKnp_Lonza_1472015_BG4	HEKnp_Lonza_1472015_BG4	HEKnp	BG4	NA	HEKnp_Lonza_1472015_BG4_R1_705_503.SLX-10223.SLX-10225_S3_L000_R1_001.fq.gz
HEKnp_Lonza_1472015_BG4	HEKnp_Lonza_1472015_BG4	HEKnp	BG4	NA	HEKnp_Lonza_1472015_BG4_R1_705_503.SLX-10225.SLX-10225_S9_L000_R1_001.fq.gz
HEKnp_Lonza_1472015_BG4	HEKnp_Lonza_1472015_BG4	HEKnp	BG4	NA	HEKnp_Lonza_1472015_BG4_R2_706_504.SLX-10223.SLX-10225_S5_L000_R1_001.fq.gz
HEKnp_Lonza_1472015_BG4	HEKnp_Lonza_1472015_BG4	HEKnp	BG4	NA	HEKnp_Lonza_1472015_BG4_R2_706_504.SLX-10225.SLX-10225_S12_L000_R1_001.fq.gz
HEKnp_Lonza_1572015_BG4	HEKnp_Lonza_1572015_BG4	HEKnp	BG4	NA	HEKnp_Lonza_1572015_BG4_R1_702_504.SLX-10223.SLX-10225_S4_L000_R1_001.fq.gz
HEKnp_Lonza_1572015_BG4	HEKnp_Lonza_1572015_BG4	HEKnp	BG4	NA	HEKnp_Lonza_1572015_BG4_R1_702_504.SLX-10225.SLX-10225_S10_L000_R1_001.fq.gz
HEKnp_Lonza_1572015_BG4	HEKnp_Lonza_1572015_BG4	HEKnp	BG4	NA	HEKnp_Lonza_1572015_BG4_R2_703_517.SLX-10223.SLX-10225_S1_L000_R1_001.fq.gz
HEKnp_Lonza_1572015_BG4	HEKnp_Lonza_1572015_BG4	HEKnp	BG4	NA	HEKnp_Lonza_1572015_BG4_R2_703_517.SLX-10225.SLX-10225_S2_L000_R1_001.fq.gz
rhh_hek_09112014_FAIRE	rhh074_Input1_N701_N501_HEKnp_FAIRE_BG4DIPseq_09112014	HEKnp	FAIRE	NA	rhh074_Input1_N701_N501_HEKnp_FAIRE_BG4DIPseq_09112014.141109_NS500222_0036_AH1292BGXX.S1_L000_R1_001.fq.gz
rhh_hek_09112014_FAIRE	rhh077_Input2_N702_N502_HEKnp_FAIRE_BG4DIPseq_09112014	HEKnp	FAIRE	NA	rhh077_Input2_N702_N502_HEKnp_FAIRE_BG4DIPseq_09112014.141109_NS500222_0036_AH1292BGXX.S4_L000_R1_001.fq.gz
rhh_hek_18092014_FAIRE	rhh063_HEKnp_FAIREinp_N701_N502_18092014	HEKnp	FAIRE	NA	rhh063_HEKnp_FAIREinp_N701_N502_18092014.140920_NS500383_0006_AH0YV6BGXX.S1_L000_R1_001.fq.gz
rhh_hek_18092014_FAIRE	rhh063_HEKnp_FAIREinp_N701_N502_18092014	HEKnp	FAIRE	NA	rhh063_HEKnp_FAIREinp_N701_N502_18092014.141025_NS500222_0031_AH0YUVBGXX.S1_L000_R1_001.fq.gz
HEK_Gibco_1	HEK_Gibco_1	HEKnp	RNA-Seq	NA	HEK_Gibco_1.SLX-10280.D703_D504.HFVLFBGXX.s_1.r_1.fq.gz
HEK_Gibco_2	HEK_Gibco_2	HEKnp	RNA-Seq	NA	HEK_Gibco_2.SLX-10280.D703_D503.HFVLFBGXX.s_1.r_1.fq.gz
HEK_Gibco_3	HEK_Gibco_3	HEKnp	RNA-Seq	NA	HEK_Gibco_3.SLX-10280.D703_D502.HFVLFBGXX.s_1.r_1.fq.gz
HEK_Gibco_4	HEK_Gibco_4	HEKnp	RNA-Seq	NA	HEK_Gibco_4.SLX-10280.D703_D501.HFVLFBGXX.s_1.r_1.fq.gz
merged_14_and_15072015_input_heknplonza	merged_14_and_15072015_input_heknplonza	HEKnp	input	NA	HEKnp_Lonza_1472015_input_704_502.SLX-10225.SLX-10225_S5_L000_R1_001.fq.gz
merged_14_and_15072015_input_heknplonza	merged_14_and_15072015_input_heknplonza	HEKnp	input	NA	HEKnp_Lonza_1572015_input_701_503.SLX-10223.SLX-10225_S2_L000_R1_001.fq.gz
merged_14_and_15072015_input_heknplonza	merged_14_and_15072015_input_heknplonza	HEKnp	input	NA	HEKnp_Lonza_1572015_input_701_503.SLX-10225.SLX-10225_S7_L000_R1_001.fq.gz
